loan_id,reporting_month,servicer_name,current_status,anomaly_score,exception_probability,predicted_exception_type,predicted_type_confidence,dq_score,rules_violated,current_balance,servicer_balance_gap_pct,reporting_lag_days,document_status,actual_exception_required,actual_exception_type,anomaly_driver_1,anomaly_driver_1_zscore,anomaly_driver_2,anomaly_driver_2_zscore,anomaly_driver_3,anomaly_driver_3_zscore,review_priority
LN-2F6C0D79C6,2026-01,U.S. BANK N.A.,DQ30,1.0,0.9474,invalid_date_relationship,0.975,66.0,loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent; document_file_incomplete,259828.0,0.0,8.0,missing,1,invalid_date_relationship,loan age required repair,9.43,balance against expected amortisation for term elapsed,4.97,record arrived by manual upload,3.68,0.9684
LN-FF39F0A9B2,2026-01,OTHER,Current,1.0,0.9474,invalid_date_relationship,0.984,70.0,loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent; servicer_record_absent,291786.0,0.0,12.0,complete,1,invalid_date_relationship,month-over-month balance movement,56.84,three-month balance movement,27.19,month-over-month change in days past due,17.41,0.9684
LN-2E66A42EB6,2025-12,OTHER,Current,1.0,0.9474,invalid_date_relationship,0.995,73.0,loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent,230970.0,0.0,14.0,complete,1,invalid_date_relationship,three-month balance movement,51.32,loan age required repair,9.43,balance against expected amortisation for term elapsed,5.15,0.9684
LN-A43B603760,2025-10,"ROCKET MORTGAGE, LLC",Current,1.0,0.9474,invalid_date_relationship,0.953,70.0,loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent; servicer_record_absent,106548.0,0.0,13.0,complete,1,invalid_date_relationship,month-over-month balance movement,65.41,three-month balance movement,30.9,month-over-month change in days past due,17.41,0.9684
LN-EBFAA3ABD2,2025-11,"LAKEVIEW LOAN SERVICING, LLC",Current,1.0,0.9474,invalid_date_relationship,0.856,70.0,loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent; servicer_record_absent,735266.0,0.0,2.0,complete,1,invalid_date_relationship,month-over-month balance movement,38.26,three-month balance movement,18.66,month-over-month change in days past due,17.41,0.9684
LN-05E2DF2646,2026-01,"UNITED WHOLESALE MORTGAGE, LLC",DQ90plus,1.0,0.9474,invalid_date_relationship,0.957,73.0,loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent,524786.0,0.0,20.0,complete,1,invalid_date_relationship,loan age required repair,9.43,month-over-month change in days past due,8.7,balance against expected amortisation for term elapsed,5.06,0.9684
LN-240AD09CD2,2025-11,NEW RESIDENTIAL MORTGAGE LLC,Current,1.0,0.9474,invalid_date_relationship,0.96,70.0,loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent; servicer_record_absent,749678.0,0.0,12.0,complete,1,invalid_date_relationship,month-over-month balance movement,41.87,three-month balance movement,20.39,loan age required repair,9.43,0.9684
LN-DDAB322709,2026-03,PENNYMAC CORP.,Current,1.0,0.9474,invalid_date_relationship,0.89,70.0,loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent; servicer_record_absent,240556.0,0.0,9.0,complete,1,invalid_date_relationship,month-over-month balance movement,57.6,three-month balance movement,27.54,month-over-month change in days past due,17.41,0.9684
LN-2E66A42EB6,2025-11,OTHER,Current,1.0,0.9474,invalid_date_relationship,0.951,73.0,loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent,231175.0,0.0,5.0,complete,1,invalid_date_relationship,month-over-month balance movement,109.22,three-month balance movement,50.9,month-over-month change in days past due,17.41,0.9684
LN-05E2DF2646,2025-12,"UNITED WHOLESALE MORTGAGE, LLC",DQ90plus,1.0,0.9474,invalid_date_relationship,0.941,59.0,loan_age_inconsistent_with_dates; balance_exceeds_original; status_dpd_mismatch; remaining_term_inconsistent; servicer_record_absent,525192.0,0.0,16.0,complete,1,invalid_date_relationship,days past due against reported status,14.6,loan age required repair,9.43,month-over-month change in days past due,8.7,0.9684
LN-2F6C0D79C6,2026-02,U.S. BANK N.A.,Current,1.0,0.9474,invalid_date_relationship,0.961,63.0,loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent; document_file_incomplete; servicer_record_absent,259656.0,0.0,9.0,missing,1,invalid_date_relationship,loan age required repair,9.43,balance against expected amortisation for term elapsed,4.96,record arrived by manual upload,3.68,0.9684
LN-5CCE1027C3,2026-02,OTHER,Current,1.0,0.9474,invalid_date_relationship,0.876,73.0,loan_age_inconsistent_with_dates; balance_exceeds_original; remaining_term_inconsistent,475881.0,0.0,8.0,complete,1,invalid_date_relationship,month-over-month balance movement,18.29,three-month balance movement,9.88,loan age required repair,9.43,0.9684
LN-AC4B749119,2025-12,OTHER,Current,1.0,0.9133,status_dpd_mismatch,0.819,67.0,status_dpd_mismatch; missing_critical_field; servicer_balance_break,299601.0,1.56,24.0,complete,1,balance_reconciliation_break,days past due against reported status,19.46,month-over-month change in days past due,11.61,servicer reporting lag,2.53,0.948
LN-820F8B9235,2025-10,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",Current,1.0,0.9133,status_dpd_mismatch,0.518,67.0,status_dpd_mismatch; missing_critical_field; servicer_balance_break,212697.0,1.81,7.0,complete,1,balance_reconciliation_break,days past due against reported status,19.46,month-over-month balance movement,16.04,three-month balance movement,15.57,0.948
LN-1DE24E7AFA,2026-02,FREEDOM MORTGAGE CORPORATION,Current,1.0,0.9133,missing_documentation,0.535,68.0,balance_exceeds_original; balance_increase_month_over_month; document_file_incomplete; stale_servicer_reporting,35364156.0,0.0,127.0,exception,1,unexpected_balance_movement,servicer reporting lag,19.9,balance required repair,15.47,document file incomplete,3.4,0.948
LN-6DC044F621,2025-10,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",Current,0.9564,0.9133,status_dpd_mismatch,0.601,77.0,dpd_sentinel_value; servicer_balance_break,672415.0,2.08,18.0,complete,1,balance_reconciliation_break,days past due required repair,19.13,servicer feed record present,2.13,servicer feed balance gap,1.93,0.9305
LN-27816CFD42,2026-01,"LOANDEPOT.COM, LLC",Current,1.0,0.8639,missing_documentation,0.585,78.0,missing_critical_field; document_file_incomplete; stale_servicer_reporting,303865.0,0.0,166.0,missing,1,missing_documentation,servicer reporting lag,26.47,servicer feed days-past-due gap,3.43,document file incomplete,3.4,0.9183
LN-3EA84D5CE0,2026-01,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",Current,1.0,0.8639,missing_documentation,0.681,78.0,missing_critical_field; document_file_incomplete; stale_servicer_reporting,62425.0,0.0,93.0,missing,1,missing_documentation,servicer reporting lag,14.16,count of missing credit fields,4.82,record arrived by manual upload,3.68,0.9183
LN-820F8B9235,2026-03,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",Current,1.0,0.8639,unexpected_balance_movement,0.653,74.0,balance_exceeds_original; balance_increase_month_over_month; document_file_incomplete,15892147.0,0.0,7.0,missing,1,missing_documentation,balance required repair,15.47,document file incomplete,3.4,servicer feed record present,2.13,0.9183
LN-EF46CA02A8,2025-12,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",Current,1.0,0.8639,stale_servicer_reporting,0.747,75.0,missing_critical_field; document_file_incomplete; stale_servicer_reporting; servicer_record_absent,155446.0,0.0,148.0,missing,1,stale_servicer_reporting,servicer reporting lag,23.44,count of missing credit fields,7.23,three-month balance movement,5.08,0.9183
LN-F6550307A8,2025-12,OTHER,Current,1.0,0.858,stale_servicer_reporting,0.561,84.0,document_file_incomplete; stale_servicer_reporting; servicer_record_absent,88371.0,0.0,155.0,exception,1,missing_documentation,three-month balance movement,26.9,servicer reporting lag,24.62,balance against expected amortisation for term elapsed,24.33,0.9148
LN-006012E8B5,2025-11,OTHER,Current,1.0,0.8427,unexpected_balance_movement,0.511,74.0,negative_balance; document_file_incomplete; servicer_record_absent,-110584.0,0.0,7.0,exception,1,missing_documentation,balance required repair,15.47,document file incomplete,3.4,servicer feed days-past-due gap,2.72,0.9056
LN-5E1F928FB7,2025-11,"PNC BANK, NA",Current,0.8531,0.9133,unexpected_balance_movement,0.583,71.0,negative_balance; servicer_balance_break,-444801.0,2.32,9.0,complete,1,balance_reconciliation_break,balance required repair,15.47,servicer feed balance gap,2.16,servicer feed record present,2.13,0.8892
LN-6C0DFE98D3,2026-02,OTHER,Current,0.81,0.858,stale_servicer_reporting,0.587,84.0,document_file_incomplete; stale_servicer_reporting; servicer_record_absent,127844.0,0.0,151.0,missing,1,missing_documentation,servicer reporting lag,23.94,record arrived by manual upload,3.68,document file incomplete,3.4,0.8388
LN-E937C14551,2025-12,OTHER,DQ90plus,0.8819,0.4444,none,0.823,89.0,status_dpd_mismatch,98511.0,0.0,6.0,complete,1,status_dpd_mismatch,days past due against reported status,14.6,month-over-month change in days past due,5.8,three-month balance movement,2.2,0.6194
LN-CE9B98FD26,2026-01,OTHER,Current,0.7887,0.4595,none,0.994,94.0,stale_servicer_reporting,106728.0,0.0,105.0,complete,1,stale_servicer_reporting,three-month balance movement,19.64,servicer reporting lag,16.19,month-over-month balance movement,14.91,0.5912
LN-A87F226C09,2025-12,TH MSR HOLDINGS LLC,Current,0.764,0.4595,none,0.997,84.0,missing_critical_field; document_file_incomplete,309502.0,0.0,33.0,missing,0,none,three-month balance movement,6.4,month-over-month balance movement,4.76,scheduled payment relative to balance,4.15,0.5813
