loan_id,reporting_month,servicer_name,reported_balance,reported_status,reported_dpd,update_received_at,file_batch_id
F21Q40850344,2022-04,OTHER,107000.0,Current,0.0,2022-05-21 00:00:00,BATCH-2022-04
F21Q30306136,2021-09,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,613000.0,Current,0.0,2021-10-04 00:00:00,BATCH-2021-09
F23Q10159615,2025-11,NEW RESIDENTIAL MORTGAGE LLC,195117.94014419228,Current,0.0,2026-01-03 00:00:00,BATCH-2025-11
F23Q40064243,2026-03,OTHER,327926.4965629422,Current,0.0,2026-04-05 00:00:00,BATCH-2026-03
F19Q10118035,2020-01,OTHER,203065.4,Current,0.0,2020-02-14 00:00:00,BATCH-2020-01
F23Q10146375,2024-02,"CMG MORTGAGE, INC.",445309.62,Current,0.0,2024-03-06 00:00:00,BATCH-2024-02
F20Q20313554,2022-04,TRUIST BANK,281759.56,Current,0.0,2022-05-14 00:00:00,BATCH-2022-04
F21Q30640720,2022-03,"CALIBER HOME LOANS, INC.",,Current,0.0,2022-04-05 00:00:00,BATCH-2022-03
F19Q40308055,2025-04,OTHER,190827.45,Current,0.0,2025-05-16 00:00:00,BATCH-2025-04
F22Q40076214,2023-10,"ROCKET MORTGAGE, LLC",108966.09,Current,0.0,2023-11-06 00:00:00,BATCH-2023-10
F21Q40807700,2024-10,OTHER,248392.65048635032,Current,0.0,2024-11-13 00:00:00,BATCH-2024-10-R1
F20Q20831811,2023-12,FREEDOM MORTGAGE CORPORATION,198110.91,Current,0.0,2024-01-04 00:00:00,BATCH-2023-12
F21Q11656394,2023-12,PENNYMAC CORP.,499386.29,Current,110.0,2024-01-05 00:00:00,BATCH-2023-12
F21Q30289716,2023-10,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",257087.1,Current,0.0,2023-11-02 00:00:00,BATCH-2023-10
F20Q40451304,2022-03,OTHER,219695.09208942536,Current,0.0,2022-04-07 00:00:00,BATCH-2022-03
F19Q20324255,2020-02,SPECIALIZED LOAN SERVICING LLC,418133.0894579815,Current,0.0,2020-03-01 00:00:00,BATCH-2020-02
F19Q40058423,2020-03,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,181000.0,Current,0.0,2020-04-09 00:00:00,BATCH-2020-03
F23Q30090375,2024-11,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",75448.74,Current,0.0,2024-12-06 00:00:00,BATCH-2024-11
F23Q40168139,2025-11,OTHER,686547.27,Current,0.0,2025-12-08 00:00:00,BATCH-2025-11
F23Q10184506,2025-02,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",219387.68,Current,0.0,2025-03-09 00:00:00,BATCH-2025-02
F20Q41193390,2023-04,"ROCKET MORTGAGE, LLC",90035.98,Current,0.0,2023-05-04 00:00:00,BATCH-2023-04
F22Q10267842,2024-05,"WELLS FARGO BANK, N.A.",258773.19,Current,0.0,2024-06-16 00:00:00,BATCH-2024-05
F20Q31117410,2020-11,"QUICKEN LOANS, LLC",338000.0,Current,0.0,2020-12-06 00:00:00,BATCH-2020-11
F21Q20794651,2024-11,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,507952.8,Current,0.0,2024-12-01 00:00:00,BATCH-2024-11
F20Q40424465,2021-06,"QUICKEN LOANS, LLC",,Current,0.0,2021-07-09 00:00:00,BATCH-2021-06
F22Q20413485,2023-09,TRUIST BANK,307254.31,Current,0.0,2023-10-03 00:00:00,BATCH-2023-09
F21Q20175829,2023-06,OTHER,152744.28,Current,0.0,2023-07-04 00:00:00,BATCH-2023-06
F23Q10107195,2024-04,OTHER,667137.94,Current,0.0,2024-05-07 00:00:00,BATCH-2024-04
F23Q30103044,2024-04,TRUIST BANK,536012.15,Current,0.0,2024-05-10 00:00:00,BATCH-2024-04
F22Q30049977,2023-07,"LAKEVIEW LOAN SERVICING, LLC",503149.73,Current,0.0,2023-08-06 00:00:00,BATCH-2023-07
F20Q20655263,2022-08,"CITIZENS BANK, NA",336669.23,Current,0.0,2022-09-19 00:00:00,BATCH-2022-08
F21Q40762190,2023-06,"WELLS FARGO BANK, N.A.",328658.82,Current,0.0,2023-07-03 00:00:00,BATCH-2023-06
F21Q20502274,2023-05,OTHER,221117.94,Current,0.0,2023-06-10 00:00:00,BATCH-2023-05
F21Q11334956,2023-02,U.S. BANK N.A.,450172.61,Current,0.0,2023-03-16 00:00:00,BATCH-2023-02
F20Q20528295,2021-11,"PNC BANK, NA",,DQ60,99.0,2021-12-04 00:00:00,BATCH-2021-11
F22Q40108668,2025-01,"UNITED WHOLESALE MORTGAGE, LLC",430529.21,Current,0.0,2025-02-02 00:00:00,BATCH-2025-01
F22Q30195146,2025-01,TRUIST BANK,365145.26,Current,0.0,2025-02-06 00:00:00,BATCH-2025-01
F22Q10311206,2022-10,OTHER,409592.98,Current,0.0,2022-11-02 00:00:00,BATCH-2022-10
F21Q30589366,2025-06,TH MSR HOLDINGS LLC,125201.42,Current,0.0,2025-07-09 00:00:00,BATCH-2025-06
F20Q20437544,2022-09,"WELLS FARGO BANK, N.A.",,Current,0.0,2022-10-06 00:00:00,BATCH-2022-09
F20Q10091943,2020-08,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",186000.0,Current,0.0,2020-09-06 00:00:00,BATCH-2020-08
F19Q10042630,2021-08,"CITIZENS BANK, NA",187206.25,Current,0.0,2021-09-12 00:00:00,BATCH-2021-08
F19Q20012188,2021-10,U.S. BANK N.A.,22484.7,Current,0.0,2021-11-16 00:00:00,BATCH-2021-10
F21Q40728118,2023-10,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",250916.47,Current,71.0,2023-11-07 00:00:00,BATCH-2023-10
F19Q10220237,2022-05,U.S. BANK N.A.,170960.98,Current,0.0,2022-06-19 00:00:00,BATCH-2022-05
F22Q30063377,2024-09,"LAKEVIEW LOAN SERVICING, LLC",,DQ30,0.0,2024-10-19 00:00:00,BATCH-2024-09-R1
F23Q10116098,2023-06,"ROCKET MORTGAGE, LLC",332000.0,Current,0.0,2023-07-04 00:00:00,BATCH-2023-06
F20Q10422918,2023-06,MATRIX FINANCIAL SERVICES CORPORATION,446536.09,Current,0.0,2023-07-03 00:00:00,BATCH-2023-06
F23Q20076335,2025-02,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,165423.5600193024,Current,,2025-03-05 00:00:00,BATCH-2025-02
F19Q10254538,2020-07,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",223273.77,Current,0.0,2020-08-11 00:00:00,BATCH-2020-07
F20Q10103976,2023-11,"WELLS FARGO BANK, N.A.",270614.19,Current,0.0,2023-12-05 00:00:00,BATCH-2023-11
F19Q20201694,2024-03,OTHER,62121.62,Current,0.0,2024-04-04 00:00:00,BATCH-2024-03
F21Q20739787,2025-04,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,182624.14,Current,0.0,2025-05-03 00:00:00,BATCH-2025-04
F22Q10447876,2022-05,"PENNYMAC LOAN SERVICES, LLC",522000.0,Current,0.0,2022-06-17 00:00:00,BATCH-2022-05
F22Q40141238,2023-05,"AMERIHOME MORTGAGE COMPANY, LLC",241000.0,Current,0.0,2023-06-14 00:00:00,BATCH-2023-05
F20Q10479082,2021-11,OTHER,157775.67,Current,0.0,2021-12-21 00:00:00,BATCH-2021-11
F20Q30009274,2023-12,OTHER,347896.52,Current,137.0,2024-01-01 00:00:00,BATCH-2023-12
F20Q10011074,2023-12,TRUIST BANK,186995.42,Current,0.0,2024-01-27 00:00:00,BATCH-2023-12
F20Q40308188,2021-12,PHH MORTGAGE CORPORATION,273391.25,Current,0.0,2022-01-08 00:00:00,BATCH-2021-12
F19Q10254353,2020-05,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",203457.46,Current,0.0,2020-06-12 00:00:00,BATCH-2020-05
F22Q40063094,2026-01,"LAKEVIEW LOAN SERVICING, LLC",605468.56,Current,0.0,2026-02-02 00:00:00,BATCH-2026-01
F20Q31102186,2025-03,NEW RESIDENTIAL MORTGAGE LLC,113843.73,Current,0.0,2025-04-04 00:00:00,BATCH-2025-03
F20Q41077296,2021-01,MATRIX FINANCIAL SERVICES CORPORATION,163000.0,Current,0.0,2021-02-02 00:00:00,BATCH-2021-01
F20Q10387162,2020-07,"WELLS FARGO BANK, N.A.",0.0,Current,0.0,2020-08-12 00:00:00,BATCH-2020-07-R1
F23Q30039446,2025-10,FREEDOM MORTGAGE CORPORATION,299973.1,Current,0.0,2025-11-07 00:00:00,BATCH-2025-10
F23Q40032786,2025-02,"WELLS FARGO BANK, N.A.",522805.95023953734,Current,0.0,2025-03-27 00:00:00,BATCH-2025-02-R1
F23Q20113251,2023-12,"PENNYMAC LOAN SERVICES, LLC",660000.0,Current,0.0,2024-01-05 00:00:00,BATCH-2023-12
F20Q41273022,2024-03,OTHER,302235.64,Current,0.0,2024-04-02 00:00:00,BATCH-2024-03
F20Q10001086,2025-07,OTHER,151577.67,Current,0.0,2025-08-14 00:00:00,BATCH-2025-07
F21Q40047307,2023-12,OTHER,,Current,0.0,2024-01-21 00:00:00,BATCH-2023-12
F21Q30995187,2026-01,TRUIST BANK,383130.21,Current,0.0,2026-02-21 00:00:00,BATCH-2026-01
F23Q10174503,2024-12,PENNYMAC CORP.,266395.0953284196,Current,0.0,2025-01-02 00:00:00,BATCH-2024-12
F19Q10091598,2024-01,"ROCKET MORTGAGE, LLC",179751.38,Current,0.0,2024-02-17 00:00:00,BATCH-2024-01
F20Q20787745,2024-02,OTHER,190122.28,Current,0.0,2024-03-03 00:00:00,BATCH-2024-02
F23Q30225779,2024-07,"ROCKET MORTGAGE, LLC",192327.53,Current,0.0,2024-08-04 00:00:00,BATCH-2024-07
F21Q30047179,2022-01,OTHER,137000.0,Current,0.0,2022-02-07 00:00:00,BATCH-2022-01
F22Q10402145,2024-02,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",287537.71,Current,0.0,2024-03-12 00:00:00,BATCH-2024-02
F22Q10047071,2025-06,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",165697.75,Current,0.0,2025-07-03 00:00:00,BATCH-2025-06
F19Q40189684,2020-02,OTHER,542000.0,Current,0.0,2020-03-13 00:00:00,BATCH-2020-02
F21Q30596126,2024-12,NEW RESIDENTIAL MORTGAGE LLC,311369.60094332526,Current,0.0,2025-01-06 00:00:00,BATCH-2024-12
F21Q11521296,2022-06,"ROCKET MORTGAGE, LLC",177573.42602704847,Current,0.0,2022-07-25 00:00:00,BATCH-2022-06-R1
F22Q30131942,2025-03,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,248430.83,Current,0.0,2025-04-05 00:00:00,BATCH-2025-03
F21Q11304051,2021-02,OTHER,450000.0,Current,0.0,2021-03-10 00:00:00,BATCH-2021-02
F23Q10009252,2024-10,"LAKEVIEW LOAN SERVICING, LLC",119824.79,Current,0.0,2024-11-16 00:00:00,BATCH-2024-10
F23Q40169716,2025-12,OTHER,195769.13,Current,0.0,2026-01-18 00:00:00,BATCH-2025-12
F23Q20132783,2024-12,OTHER,228556.65,Current,0.0,2025-01-07 00:00:00,BATCH-2024-12
F22Q20395969,2022-06,PENNYMAC CORP.,269000.0,Current,0.0,2022-07-04 00:00:00,BATCH-2022-06
F22Q30178929,2024-05,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,512458.56,Current,0.0,2024-06-11 00:00:00,BATCH-2024-05
F20Q10107841,2021-10,OTHER,294795.43236940046,Current,0.0,2021-11-10 00:00:00,BATCH-2021-10
F20Q40870891,2022-04,PHH MORTGAGE CORPORATION,159316.37,DQ90plus,0.0,2022-05-28 00:00:00,BATCH-2022-04
F21Q11286316,2025-10,"PNC BANK, NA",96832.84,Current,0.0,2025-11-17 00:00:00,BATCH-2025-10
F20Q40738235,2026-01,"PNC BANK, NA",303645.6710148709,Current,0.0,2026-02-21 00:00:00,BATCH-2026-01
F22Q20434760,2024-10,OTHER,608415.06,DQ30,30.0,2024-11-18 00:00:00,BATCH-2024-10
F23Q20066094,2024-05,OTHER,209619.53,Current,0.0,2024-06-03 00:00:00,BATCH-2024-05
F20Q41050667,2025-12,"WELLS FARGO BANK, N.A.",605765.71,Current,0.0,2026-01-14 00:00:00,BATCH-2025-12
F19Q10119306,2019-03,QUICKEN LOANS INC.,238000.0,Current,0.0,2019-04-02 00:00:00,BATCH-2019-03
F20Q20758205,2025-11,PHH ASSET SERVICES LLC,409775.45,DQ30,0.0,2025-12-05 00:00:00,BATCH-2025-11
F20Q30089812,2024-05,"UNITED WHOLESALE MORTGAGE, LLC",,Current,0.0,2024-06-07 00:00:00,BATCH-2024-05
F20Q10173005,2025-12,OTHER,240861.19,Current,0.0,2026-01-07 00:00:00,BATCH-2025-12
F21Q20156654,2023-07,"PNC BANK, NA",108646.83,Current,0.0,2023-08-01 00:00:00,BATCH-2023-07
F22Q20078742,2022-10,OTHER,238000.0,Current,19.0,2022-11-10 00:00:00,BATCH-2022-10
F21Q20727342,2025-12,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",301853.56,Current,111.0,2026-01-17 00:00:00,BATCH-2025-12
F19Q10144818,2019-06,OTHER,195000.0,Current,0.0,2019-07-05 00:00:00,BATCH-2019-06
F19Q09000790,2025-09,"PENNYMAC LOAN SERVICES, LLC",244601.68,Current,15.0,2025-10-22 00:00:00,BATCH-2025-09-ORPHAN
F21Q20283779,2024-09,"UNITED WHOLESALE MORTGAGE, LLC",289519.78226338775,Current,0.0,2024-11-06 00:00:00,BATCH-2024-09-R1
F20Q30051951,2026-03,OTHER,60760.58524254292,Current,0.0,2026-04-11 00:00:00,BATCH-2026-03-R1
F20Q30807965,2024-01,PENNYMAC CORP.,172784.37,Current,0.0,2024-02-02 00:00:00,BATCH-2024-01
F22Q40081796,2022-12,OTHER,294000.0,Current,0.0,2023-01-07 00:00:00,BATCH-2022-12
F21Q12122277,2021-10,OTHER,269000.0,DQ90plus,0.0,2021-10-31 00:00:00,BATCH-2021-10
F20Q40643233,2022-12,"CITIZENS BANK, NA",385393.17,Current,0.0,2023-01-10 00:00:00,BATCH-2022-12
F22Q30015017,2025-10,"LAKEVIEW LOAN SERVICING, LLC",230157.13,DQ90plus,0.0,2025-11-25 00:00:00,BATCH-2025-10
F23Q40159158,2025-12,PHH ASSET SERVICES LLC,50580.09,Current,0.0,2026-01-07 00:00:00,BATCH-2025-12
F21Q30186952,2023-11,"WELLS FARGO BANK, N.A.",360011.9,Current,0.0,2023-12-12 00:00:00,BATCH-2023-11
F19Q40198514,2024-04,U.S. BANK N.A.,266862.2,Current,,2024-05-04 00:00:00,BATCH-2024-04
F19Q20399972,2020-09,"QUICKEN LOANS, LLC",0.0,Current,0.0,2020-10-09 00:00:00,BATCH-2020-09
F20Q30234602,2021-09,OTHER,263936.87,Current,0.0,2021-10-03 00:00:00,BATCH-2021-09
F21Q40418387,2026-03,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",485384.29,Current,0.0,2026-04-16 00:00:00,BATCH-2026-03
F19Q10244347,2019-11,"AMERIHOME MORTGAGE COMPANY, LLC",100714.75,Current,0.0,2019-12-17 00:00:00,BATCH-2019-11
F22Q20250429,2024-02,"LAKEVIEW LOAN SERVICING, LLC",460709.91,Current,0.0,2024-03-06 00:00:00,BATCH-2024-02
F23Q40091090,2024-10,"PENNYMAC LOAN SERVICES, LLC",226020.16,Current,0.0,2024-12-06 00:00:00,BATCH-2024-10
F20Q31147307,2022-03,"WELLS FARGO BANK, N.A.",296247.59,Current,0.0,2022-04-10 00:00:00,BATCH-2022-03
F19Q09000601,2024-09,FREEDOM MORTGAGE CORPORATION,260923.47,Current,0.0,2024-10-08 00:00:00,BATCH-2024-09-ORPHAN
F21Q40812437,2022-11,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,Current,0.0,2022-12-07 00:00:00,BATCH-2022-11
F22Q10213066,2024-09,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",137884.09,Current,0.0,2024-10-07 00:00:00,BATCH-2024-09
F22Q20312357,2025-08,"LOANDEPOT.COM, LLC",190443.20576277727,Current,0.0,2025-09-02 00:00:00,BATCH-2025-08
F19Q30339197,2021-06,OTHER,16083.23,Current,0.0,2021-07-17 00:00:00,BATCH-2021-06
F21Q20463431,2025-06,"WELLS FARGO BANK, N.A.",278415.33,Current,0.0,2025-07-05 00:00:00,BATCH-2025-06
F21Q30782972,2023-09,U.S. BANK N.A.,108473.7,Current,0.0,2023-10-08 00:00:00,BATCH-2023-09
F22Q30299616,2025-12,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,156494.79,Current,0.0,2026-01-04 00:00:00,BATCH-2025-12
F20Q41042643,2025-04,OTHER,163576.35,Current,0.0,2025-05-04 00:00:00,BATCH-2025-04
F23Q20244921,2023-07,"ROCKET MORTGAGE, LLC",174000.0,Current,120.0,2023-08-17 00:00:00,BATCH-2023-07
F19Q10003529,2020-02,"CALIBER HOME LOANS, INC.",370044.6290012551,Current,0.0,2020-03-01 00:00:00,BATCH-2020-02
F21Q11708512,2023-12,U.S. BANK N.A.,156299.46,Current,0.0,2024-01-13 00:00:00,BATCH-2023-12
F20Q20110611,2021-10,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",107220.14,Current,0.0,2021-11-24 00:00:00,BATCH-2021-10
F19Q30526499,2026-03,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",223797.43689104498,Current,0.0,2026-04-20 00:00:00,BATCH-2026-03
F20Q20826494,2020-09,PENNYMAC CORP.,548000.0,Current,0.0,2020-10-01 00:00:00,BATCH-2020-09
F21Q20090156,2023-05,ONSLOW BAY FINANCIAL LLC,194747.9649413666,Current,0.0,2023-06-20 00:00:00,BATCH-2023-05-R1
F19Q20097633,2020-02,TRUIST BANK,289853.77185639576,Current,0.0,2020-03-01 00:00:00,BATCH-2020-02
F19Q30170833,2020-03,QUICKEN LOANS INC.,386000.0,Current,0.0,2020-04-03 00:00:00,BATCH-2020-03
F20Q20215794,2022-02,OTHER,247397.33,Current,0.0,2022-03-11 00:00:00,BATCH-2022-02
F21Q40494201,2022-06,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",244000.0,Current,0.0,2022-07-06 00:00:00,BATCH-2022-06
F20Q41102271,2021-03,MATRIX FINANCIAL SERVICES CORPORATION,158000.0,Current,0.0,2021-04-16 00:00:00,BATCH-2021-03
F22Q20202521,2023-02,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",209078.59,Current,144.0,2023-03-10 00:00:00,BATCH-2023-02
F20Q31182014,2022-06,OTHER,135144.4,Current,,2022-07-20 00:00:00,BATCH-2022-06
F21Q12210770,2022-06,OTHER,432853.15,Current,0.0,2022-07-16 00:00:00,BATCH-2022-06
F21Q40722741,2022-06,OTHER,235000.0,Current,27.0,2022-07-06 00:00:00,BATCH-2022-06
F23Q10132271,2023-08,OTHER,394592.28455844976,Current,0.0,2023-09-21 00:00:00,BATCH-2023-08-R1
F23Q40048259,2023-11,OTHER,170000.0,Current,0.0,2023-12-25 00:00:00,BATCH-2023-11
F19Q30154003,2024-06,NEW RESIDENTIAL MORTGAGE LLC,358525.25,Current,0.0,2024-07-09 00:00:00,BATCH-2024-06
F20Q40870891,2025-08,PHH ASSET SERVICES LLC,146791.82,Current,0.0,2025-09-21 00:00:00,BATCH-2025-08
F21Q11739805,2024-03,PENNYMAC CORP.,249932.7,Current,0.0,2024-04-13 00:00:00,BATCH-2024-03
F20Q30325160,2021-03,OTHER,413000.0,Current,0.0,2021-04-08 00:00:00,BATCH-2021-03
F19Q10073020,2019-08,"AMERIHOME MORTGAGE COMPANY, LLC",163000.0,Current,0.0,2019-09-08 00:00:00,BATCH-2019-08
F21Q20481306,2021-10,PHH MORTGAGE CORPORATION,182000.0,Current,0.0,2021-11-12 00:00:00,BATCH-2021-10
F22Q40183404,2026-03,"ROCKET MORTGAGE, LLC",262171.47,Current,0.0,2026-04-04 00:00:00,BATCH-2026-03
F20Q40543650,2021-12,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,363124.8,Current,0.0,2022-01-05 00:00:00,BATCH-2021-12
F19Q20273836,2025-11,OTHER,490017.99,Current,0.0,2025-12-08 00:00:00,BATCH-2025-11
F23Q40060443,2024-01,"UNITED WHOLESALE MORTGAGE, LLC",234000.0,Current,0.0,2024-02-05 00:00:00,BATCH-2024-01
F21Q40027496,2024-08,ONSLOW BAY FINANCIAL LLC,310618.43,Current,0.0,2024-09-05 00:00:00,BATCH-2024-08
F19Q10029711,2019-06,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,202000.0,Current,0.0,2019-07-12 00:00:00,BATCH-2019-06
F19Q20135619,2023-12,TRUIST BANK,40951.64,DQ90plus,0.0,2024-01-01 00:00:00,BATCH-2023-12
F19Q10236631,2019-09,"PINGORA LOAN SERVICING, LLC",339261.9684695542,Current,0.0,2019-10-25 00:00:00,BATCH-2019-09-R1
F22Q30065470,2025-04,"LAKEVIEW LOAN SERVICING, LLC",375323.4,Current,0.0,2025-05-04 00:00:00,BATCH-2025-04
F23Q40116194,2024-05,"LAKEVIEW LOAN SERVICING, LLC",35210561.58732216,Current,0.0,2024-06-09 00:00:00,BATCH-2024-05
F20Q20660248,2023-08,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",475055.07,Current,0.0,2023-09-09 00:00:00,BATCH-2023-08
F20Q30025704,2022-01,OTHER,123244.92506333199,Current,0.0,2022-03-06 00:00:00,BATCH-2022-01
F21Q40059501,2026-03,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",381973.92,Current,0.0,2026-04-21 00:00:00,BATCH-2026-03
F23Q40197135,2025-12,OTHER,324551.48,Current,0.0,2026-01-03 00:00:00,BATCH-2025-12
F20Q20683341,2022-04,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",157835.61,Current,0.0,2022-05-13 00:00:00,BATCH-2022-04
F20Q40862825,2024-07,"PNC BANK, NA",209219.7,Current,0.0,2024-08-19 00:00:00,BATCH-2024-07
F19Q40360511,2020-01,"LAKEVIEW LOAN SERVICING, LLC",220000.0,Current,0.0,2020-02-04 00:00:00,BATCH-2020-01
F22Q10119050,2024-06,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",72239.1720385998,Current,0.0,2024-07-11 00:00:00,BATCH-2024-06-R1
F21Q20894009,2024-02,PENNYMAC CORP.,284443.16,Current,0.0,2024-03-19 00:00:00,BATCH-2024-02
F21Q30946793,2022-02,"ROCKET MORTGAGE, LLC",151000.0,Current,0.0,2022-03-11 00:00:00,BATCH-2022-02
F21Q40379434,2023-07,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",265913.16,Current,0.0,2023-08-16 00:00:00,BATCH-2023-07
F22Q30010110,2024-12,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,306633.25,Current,0.0,2025-01-05 00:00:00,BATCH-2024-12
F20Q40837029,2026-02,NEW RESIDENTIAL MORTGAGE LLC,167959.43,Current,0.0,2026-03-03 00:00:00,BATCH-2026-02
F22Q20094672,2022-06,"CITIZENS BANK, NA",409000.0,Current,0.0,2022-07-19 00:00:00,BATCH-2022-06
F21Q40449154,2022-09,"UNITED WHOLESALE MORTGAGE, LLC",169764.81,Current,155.0,2022-10-09 00:00:00,BATCH-2022-09
